rule_id,target_entity,source_entity,attribute_name,qualified_attribute_name
2. belongs-to-target-backward-by-entity,Visit,Observation,associated_visit,Observation.associated_visit
2. belongs-to-target-backward-by-entity,Visit,ObservationSet,associated_visit,ObservationSet.associated_visit
2. belongs-to-target-backward-by-entity,Visit,Procedure,associated_visit,Procedure.associated_visit
2. belongs-to-target-backward-by-entity,Visit,QuestionnaireResponse,associated_visit,QuestionnaireResponse.associated_visit
2. belongs-to-target-backward-by-entity,Visit,SdohObservation,associated_visit,SdohObservation.associated_visit
2. belongs-to-target-backward-by-entity,Visit,SdohObservationSet,associated_visit,SdohObservationSet.associated_visit
2. belongs-to-target-backward-by-entity,Visit,SpecimenQualityObservation,associated_visit,SpecimenQualityObservation.associated_visit
2. belongs-to-target-backward-by-entity,Visit,SpecimenQuantityObservation,associated_visit,SpecimenQuantityObservation.associated_visit
1. owns-target-forward-by-default,Activity,Context,activity,Context.activity
1. owns-target-forward-by-default,BiologicProduct,Specimen,derived_product,Specimen.derived_product
1. owns-target-forward-by-default,BodySite,Condition,affected_body_site,Condition.affected_body_site
1. owns-target-forward-by-default,BodySite,ImagingFile,anatomical_site,ImagingFile.anatomical_site
1. owns-target-forward-by-default,BodySite,ImagingStudy,body_part_examined,ImagingStudy.body_part_examined
1. owns-target-forward-by-default,BodySite,MeasurementObservation,body_site,MeasurementObservation.body_site
1. owns-target-forward-by-default,BodySite,Procedure,affected_body_site,Procedure.affected_body_site
1. owns-target-forward-by-default,BodySite,SpecimenCreationActivity,collection_site,SpecimenCreationActivity.collection_site
1. owns-target-forward-by-default,CauseOfDeath,Person,cause_of_death,Person.cause_of_death
1. owns-target-forward-by-default,Consent,Participant,consents,Participant.consents
1. owns-target-forward-by-default,Consent,ResearchStudy,consents,ResearchStudy.consents
1. owns-target-forward-by-default,Context,DimensionalObservation,context,DimensionalObservation.context
1. owns-target-forward-by-default,Context,MeasurementObservation,context,MeasurementObservation.context
1. owns-target-forward-by-default,Context,Observation,context,Observation.context
1. owns-target-forward-by-default,Context,SdohObservation,context,SdohObservation.context
1. owns-target-forward-by-default,Context,SpecimenQualityObservation,context,SpecimenQualityObservation.context
1. owns-target-forward-by-default,Context,SpecimenQuantityObservation,context,SpecimenQuantityObservation.context
1. owns-target-forward-by-default,DimensionalObservation,DimensionalObservationSet,observations,DimensionalObservationSet.observations
1. owns-target-forward-by-default,DimensionalObservationSet,Specimen,dimensional_measures,Specimen.dimensional_measures
1. owns-target-forward-by-default,Document,Specimen,related_document,Specimen.related_document
1. owns-target-forward-by-default,Entity,Condition,associated_evidence,Condition.associated_evidence
1. owns-target-forward-by-default,Entity,DimensionalObservation,focus,DimensionalObservation.focus
1. owns-target-forward-by-default,Entity,DimensionalObservationSet,focus,DimensionalObservationSet.focus
1. owns-target-forward-by-default,Entity,Document,focus,Document.focus
1. owns-target-forward-by-default,Entity,MeasurementObservation,associated_artifact,MeasurementObservation.associated_artifact
1. owns-target-forward-by-default,Entity,MeasurementObservation,focus,MeasurementObservation.focus
1. owns-target-forward-by-default,Entity,MeasurementObservationSet,focus,MeasurementObservationSet.focus
1. owns-target-forward-by-default,Entity,Observation,focus,Observation.focus
1. owns-target-forward-by-default,Entity,ObservationSet,focus,ObservationSet.focus
1. owns-target-forward-by-default,Entity,SdohObservation,focus,SdohObservation.focus
1. owns-target-forward-by-default,Entity,SdohObservationSet,focus,SdohObservationSet.focus
1. owns-target-forward-by-default,Entity,SpecimenQualityObservation,focus,SpecimenQualityObservation.focus
1. owns-target-forward-by-default,Entity,SpecimenQuantityObservation,focus,SpecimenQuantityObservation.focus
1. owns-target-forward-by-default,File,File,derived_from,File.derived_from
1. owns-target-forward-by-default,File,ImagingFile,derived_from,ImagingFile.derived_from
1. owns-target-forward-by-default,MeasurementObservation,MeasurementObservationSet,observations,MeasurementObservationSet.observations
1. owns-target-forward-by-default,Observation,ObservationSet,observations,ObservationSet.observations
1. owns-target-forward-by-default,Quantity,Activity,time_duration,Activity.time_duration
1. owns-target-forward-by-default,Quantity,Assay,lower_limit_of_detection,Assay.lower_limit_of_detection
1. owns-target-forward-by-default,Quantity,Assay,upper_limit_of_detection,Assay.upper_limit_of_detection
1. owns-target-forward-by-default,Quantity,DimensionalObservation,value_quantity,DimensionalObservation.value_quantity
1. owns-target-forward-by-default,Quantity,MeasurementObservation,range_high,MeasurementObservation.range_high
1. owns-target-forward-by-default,Quantity,MeasurementObservation,range_low,MeasurementObservation.range_low
1. owns-target-forward-by-default,Quantity,MeasurementObservation,value_quantity,MeasurementObservation.value_quantity
1. owns-target-forward-by-default,Quantity,Observation,value_quantity,Observation.value_quantity
1. owns-target-forward-by-default,Quantity,Procedure,quantity,Procedure.quantity
1. owns-target-forward-by-default,Quantity,SdohObservation,value_quantity,SdohObservation.value_quantity
1. owns-target-forward-by-default,Quantity,SpecimenCreationActivity,quantity_collected,SpecimenCreationActivity.quantity_collected
1. owns-target-forward-by-default,Quantity,SpecimenProcessingActivity,duration,SpecimenProcessingActivity.duration
1. owns-target-forward-by-default,Quantity,SpecimenQualityObservation,value_quantity,SpecimenQualityObservation.value_quantity
1. owns-target-forward-by-default,Quantity,SpecimenQuantityObservation,value_quantity,SpecimenQuantityObservation.value_quantity
1. owns-target-forward-by-default,Quantity,SpecimenStorageActivity,duration,SpecimenStorageActivity.duration
1. owns-target-forward-by-default,Quantity,Substance,substance_quantity,Substance.substance_quantity
1. owns-target-forward-by-default,QuestionnaireItem,Questionnaire,items,Questionnaire.items
1. owns-target-forward-by-default,QuestionnaireResponseItem,QuestionnaireResponse,items,QuestionnaireResponse.items
1. owns-target-forward-by-default,QuestionnaireResponseValue,QuestionnaireResponseItem,response_value,QuestionnaireResponseItem.response_value
1. owns-target-forward-by-default,ResearchStudy,ResearchStudyCollection,entries,ResearchStudyCollection.entries
1. owns-target-forward-by-default,SdohObservation,SdohObservationSet,observations,SdohObservationSet.observations
1. owns-target-forward-by-default,Specimen,Specimen,parent_specimen,Specimen.parent_specimen
1. owns-target-forward-by-default,SpecimenContainer,Specimen,contained_in,Specimen.contained_in
1. owns-target-forward-by-default,SpecimenContainer,SpecimenContainer,parent_container,SpecimenContainer.parent_container
1. owns-target-forward-by-default,SpecimenContainer,SpecimenStorageActivity,container,SpecimenStorageActivity.container
1. owns-target-forward-by-default,SpecimenCreationActivity,Specimen,creation_activity,Specimen.creation_activity
1. owns-target-forward-by-default,SpecimenProcessingActivity,Specimen,processing_activity,Specimen.processing_activity
1. owns-target-forward-by-default,SpecimenQualityObservation,Specimen,quality_measure,Specimen.quality_measure
1. owns-target-forward-by-default,SpecimenQuantityObservation,Specimen,quantity_measure,Specimen.quantity_measure
1. owns-target-forward-by-default,SpecimenStorageActivity,Specimen,storage_activity,Specimen.storage_activity
1. owns-target-forward-by-default,SpecimenTransportActivity,Specimen,transport_activity,Specimen.transport_activity
1. owns-target-forward-by-default,Substance,Assay,reagent,Assay.reagent
1. owns-target-forward-by-default,Substance,SpecimenContainer,additive,SpecimenContainer.additive
1. owns-target-forward-by-default,Substance,SpecimenCreationActivity,additive,SpecimenCreationActivity.additive
1. owns-target-forward-by-default,Substance,SpecimenProcessingActivity,additive,SpecimenProcessingActivity.additive
1. owns-target-forward-by-default,TimePeriod,ResearchStudy,year_range,ResearchStudy.year_range
1. owns-target-forward-by-default,TimePeriod,Visit,year_range,Visit.year_range
1. owns-target-forward-by-default,TimePoint,Consent,valid_from,Consent.valid_from
1. owns-target-forward-by-default,TimePoint,Consent,valid_to,Consent.valid_to
1. owns-target-forward-by-default,TimePoint,QuestionnaireResponseValueTimePoint,value,QuestionnaireResponseValueTimePoint.value
1. owns-target-forward-by-default,TimePoint,ResearchStudy,associated_timepoint,ResearchStudy.associated_timepoint
1. owns-target-forward-by-default,TimePoint,SpecimenCreationActivity,date_ended,SpecimenCreationActivity.date_ended
1. owns-target-forward-by-default,TimePoint,SpecimenCreationActivity,date_started,SpecimenCreationActivity.date_started
1. owns-target-forward-by-default,TimePoint,SpecimenProcessingActivity,date_ended,SpecimenProcessingActivity.date_ended
1. owns-target-forward-by-default,TimePoint,SpecimenProcessingActivity,date_started,SpecimenProcessingActivity.date_started
1. owns-target-forward-by-default,TimePoint,SpecimenStorageActivity,date_ended,SpecimenStorageActivity.date_ended
1. owns-target-forward-by-default,TimePoint,SpecimenStorageActivity,date_started,SpecimenStorageActivity.date_started
1. owns-target-forward-by-default,TimePoint,SpecimenTransportActivity,date_ended,SpecimenTransportActivity.date_ended
1. owns-target-forward-by-default,TimePoint,SpecimenTransportActivity,date_started,SpecimenTransportActivity.date_started
1. owns-target-forward-by-default,TimePoint,TimePeriod,period_end,TimePeriod.period_end
1. owns-target-forward-by-default,TimePoint,TimePeriod,period_start,TimePeriod.period_start
1. owns-target-forward-by-default,TimePoint,TimePoint,index_time_point,TimePoint.index_time_point
